,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L
1,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
2,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L
3,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L
4,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
5,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L
6,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L
7,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
8,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
9,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L
10,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L
11,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M
12,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S
13,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
14,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L
15,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
16,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
17,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M
18,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
19,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
20,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
21,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
22,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
23,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
24,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
25,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
26,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
27,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
28,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
29,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L
30,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
31,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
32,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
33,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
34,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
35,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
36,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
37,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
38,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L
39,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
40,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
41,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
42,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L
43,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
44,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
45,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
46,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M
47,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
48,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
49,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
50,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S
51,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
52,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
53,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
54,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
55,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L
56,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M
57,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
58,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
59,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
60,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L
61,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M
62,2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L
63,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
64,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M
65,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
66,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
67,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
68,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
69,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
70,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
71,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L
72,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
73,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
74,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L
75,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
76,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S
77,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
78,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
79,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S
80,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L
81,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
82,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L
83,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L
84,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
85,2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M
86,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
87,2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S
88,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S
89,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
90,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
91,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
92,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
93,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
94,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L
95,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
96,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
97,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L
98,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L
99,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
100,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M
101,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
102,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L
103,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S
104,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
105,2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S
106,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
107,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
108,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L
109,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
110,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
111,2021,MI,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S
112,2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S
113,2021,EN,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L
114,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M
115,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
116,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S
